,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,stock,date,before,after,day_start,day_end,1yr_start,1yr_end,1yr_start_stock,1yr_end_stock,1yr_start_index,1yr_end_index,stock_drop,stock_diff,index_diff
0,0.0,0.0,0.0,AON,2018-10-26 06:21:00,2018-10-25 00:00:00,2018-10-26 00:00:00,145.1341552734375,144.7954679737176,2018-10-26 00:00:00,2019-10-17 00:00:00,144.79549795431922,189.05523681640625,144.7954679737176,189.05517578125,-0.23,30.57,12.48
1,1.0,1.0,1.0,AON,2018-07-27 06:29:00,2018-07-26 00:00:00,2018-07-27 00:00:00,142.60305786132812,138.7634620101104,2018-07-27 00:00:00,2019-07-18 00:00:00,138.76341632878163,192.12503051757807,138.7634467830008,192.12503051757807,-2.69,38.46,4.8
2,2.0,2.0,2.0,AON,2018-05-04 07:09:00,2018-05-03 00:00:00,2018-05-04 00:00:00,134.72181701660156,131.8252868910579,2018-05-04 00:00:00,2019-04-25 00:00:00,131.8252868910579,174.69830322265625,131.82527190574342,174.6982879638672,-2.15,32.52,11.73
3,3.0,3.0,3.0,AON,2018-02-02 06:30:00,2018-02-01 00:00:00,2018-02-02 00:00:00,138.6473388671875,134.95271743045217,2018-02-02 00:00:00,2019-01-24 00:00:00,134.95276226317662,149.31350708007812,134.95274731893514,149.3135528564453,-2.66,10.64,-6.05
4,4.0,4.0,4.0,AON,2017-10-27 06:30:00,2017-10-26 00:00:00,2017-10-27 00:00:00,144.3738250732422,138.3586851842873,2017-10-27 00:00:00,2018-10-18 00:00:00,138.35867005806423,144.67935180664062,138.3586851842873,144.6793212890625,-4.17,4.57,9.02
5,5.0,5.0,5.0,AON,2017-08-04 06:30:00,2017-08-03 00:00:00,2017-08-04 00:00:00,132.687255859375,131.77063119879077,2017-08-04 00:00:00,2018-07-26 00:00:00,131.77061604322805,142.60304260253906,131.77063119879077,142.6029815673828,-0.69,8.22,14.48
6,6.0,6.0,6.0,AON,2017-05-09 06:30:00,2017-05-08 00:00:00,2017-05-09 00:00:00,116.94721221923828,117.53762645212562,2017-05-09 00:00:00,2018-04-30 00:00:00,117.53762645212562,137.0986785888672,117.53761130013616,137.0986785888672,0.5,16.64,11.39
7,7.0,7.0,7.0,AON,2017-02-10 06:00:00,2017-02-09 00:00:00,2017-02-10 00:00:00,109.34312438964844,108.23230705135872,2017-02-10 00:00:00,2018-02-01 00:00:00,108.23230705135872,138.64727783203125,108.23230705135872,138.64727783203125,-1.02,28.1,21.8
8,8.0,8.0,8.0,AON,2016-10-28 06:30:00,2016-10-27 00:00:00,2016-10-28 00:00:00,102.32266998291016,103.7520763898916,2016-10-28 00:00:00,2017-10-19 00:00:00,103.75210644134197,144.00152587890625,103.7520839027542,144.00152587890625,1.4,38.79,19.75
9,9.0,9.0,9.0,AON,2016-07-29 06:30:00,2016-07-28 00:00:00,2016-07-29 00:00:00,104.153564453125,99.42530489540952,2016-07-29 00:00:00,2017-07-20 00:00:00,99.42531990907727,132.21194458007812,99.4253124022434,132.21197509765625,-4.54,32.98,14.14
10,10.0,10.0,10.0,AON,2016-04-29 06:30:00,2016-04-28 00:00:00,2016-04-29 00:00:00,97.06766510009766,96.50312230409588,2016-04-29 00:00:00,2017-04-20 00:00:00,96.50309997331208,114.4604034423828,96.5030850861229,114.4604034423828,-0.58,18.61,13.07
